scenario,strategy,repeat,total_time_ms,successful,failed,timeouts,total_requests,avg_wait_ms,max_wait_ms,variance_ms
A,fixed,1,148.25,3,0,0,3,0.0,0.0,0.0
A,fixed,2,135.97,3,0,0,3,0.0,0.0,0.0
A,fixed,3,122.85,3,0,0,3,0.0,0.0,0.0
A,fixed,4,140.28,3,0,0,3,0.0,0.0,0.0
A,fixed,5,138.96,3,0,0,3,0.0,0.0,0.0
A,fixed,6,150.02,3,0,0,3,0.0,0.0,0.0
A,fixed,7,124.86,3,0,0,3,0.0,0.0,0.0
A,fixed,8,108.69,3,0,0,3,0.0,0.0,0.0
A,fixed,9,125.65,3,0,0,3,0.0,0.0,0.0
A,fixed,10,129.64,3,0,0,3,0.0,0.0,0.0
A,fixed,11,142.35,3,0,0,3,0.0,0.0,0.0
A,fixed,12,145.75,3,0,0,3,0.0,0.0,0.0
A,fixed,13,146.2,3,0,0,3,0.0,0.0,0.0
A,fixed,14,127.36,3,0,0,3,0.0,0.0,0.0
A,fixed,15,131.77,3,0,0,3,0.0,0.0,0.0
A,fixed,16,122.99,3,0,0,3,0.0,0.0,0.0
A,fixed,17,140.54,3,0,0,3,0.0,0.0,0.0
A,fixed,18,155.61,3,0,0,3,0.0,0.0,0.0
A,fixed,19,154.35,3,0,0,3,0.0,0.0,0.0
A,fixed,20,153.32,3,0,0,3,0.0,0.0,0.0
A,fixed,21,116.62,3,0,0,3,0.0,0.0,0.0
A,fixed,22,123.37,3,0,0,3,0.0,0.0,0.0
A,fixed,23,121.65,3,0,0,3,0.0,0.0,0.0
A,fixed,24,149.62,3,0,0,3,0.0,0.0,0.0
A,fixed,25,153.58,3,0,0,3,0.0,0.0,0.0
A,fixed,26,128.37,3,0,0,3,0.0,0.0,0.0
A,fixed,27,132.12,3,0,0,3,0.0,0.0,0.0
A,fixed,28,143.29,3,0,0,3,0.0,0.0,0.0
A,fixed,29,135.73,3,0,0,3,0.0,0.0,0.0
A,fixed,30,107.73,3,0,0,3,0.0,0.0,0.0
A,timeout_race,1,133.59,3,0,0,3,0.0,0.0,0.0
A,timeout_race,2,133.14,3,0,0,3,0.0,0.0,0.0
A,timeout_race,3,130.77,3,0,0,3,0.0,0.0,0.0
A,timeout_race,4,122.62,3,0,0,3,0.0,0.0,0.0
A,timeout_race,5,135.2,3,0,0,3,0.0,0.0,0.0
A,timeout_race,6,124.42,3,0,0,3,0.0,0.0,0.0
A,timeout_race,7,149.39,3,0,0,3,0.0,0.0,0.0
A,timeout_race,8,97.88,3,0,0,3,0.0,0.0,0.0
A,timeout_race,9,133.78,3,0,0,3,0.0,0.0,0.0
A,timeout_race,10,133.37,3,0,0,3,0.0,0.0,0.0
A,timeout_race,11,143.59,3,0,0,3,0.0,0.0,0.0
A,timeout_race,12,128.81,3,0,0,3,0.0,0.0,0.0
A,timeout_race,13,127.74,3,0,0,3,0.0,0.0,0.0
A,timeout_race,14,143.67,3,0,0,3,0.0,0.0,0.0
A,timeout_race,15,138.08,3,0,0,3,0.0,0.0,0.0
A,timeout_race,16,133.79,3,0,0,3,0.0,0.0,0.0
A,timeout_race,17,127.52,3,0,0,3,0.0,0.0,0.0
A,timeout_race,18,137.02,3,0,0,3,0.0,0.0,0.0
A,timeout_race,19,133.72,3,0,0,3,0.0,0.0,0.0
A,timeout_race,20,133.15,3,0,0,3,0.0,0.0,0.0
A,timeout_race,21,115.48,3,0,0,3,0.0,0.0,0.0
A,timeout_race,22,133.65,3,0,0,3,0.0,0.0,0.0
A,timeout_race,23,131.85,3,0,0,3,0.0,0.0,0.0
A,timeout_race,24,133.29,3,0,0,3,0.0,0.0,0.0
A,timeout_race,25,129.8,3,0,0,3,0.0,0.0,0.0
A,timeout_race,26,126.89,3,0,0,3,0.0,0.0,0.0
A,timeout_race,27,135.04,3,0,0,3,0.0,0.0,0.0
A,timeout_race,28,134.81,3,0,0,3,0.0,0.0,0.0
A,timeout_race,29,131.52,3,0,0,3,0.0,0.0,0.0
A,timeout_race,30,135.71,3,0,0,3,0.0,0.0,0.0
A,adaptive,1,142.82,3,0,0,3,0.0,0.0,0.0
A,adaptive,2,125.55,3,0,0,3,0.0,0.0,146.2
A,adaptive,3,142.02,3,0,0,3,0.0,0.0,138.22
A,adaptive,4,153.52,3,0,0,3,0.0,0.0,133.41
A,adaptive,5,138.49,3,0,0,3,0.0,0.0,106.92
A,adaptive,6,132.33,3,0,0,3,0.0,0.0,114.04
A,adaptive,7,138.69,3,0,0,3,0.0,0.0,95.28
A,adaptive,8,160.42,3,0,0,3,0.0,0.0,133.48
A,adaptive,9,131.1,3,0,0,3,0.0,0.0,125.89
A,adaptive,10,139.82,3,0,0,3,0.0,0.0,140.84
A,adaptive,11,106.08,3,0,0,3,0.0,0.0,182.03
A,adaptive,12,128.15,3,0,0,3,0.0,0.0,194.57
A,adaptive,13,135.03,3,0,0,3,0.0,0.0,123.17
A,adaptive,14,137.29,3,0,0,3,0.0,0.0,127.93
A,adaptive,15,143.15,3,0,0,3,0.0,0.0,123.84
A,adaptive,16,146.2,3,0,0,3,0.0,0.0,64.6
A,adaptive,17,143.12,3,0,0,3,0.0,0.0,62.4
A,adaptive,18,134.45,3,0,0,3,0.0,0.0,36.65
A,adaptive,19,124.91,3,0,0,3,0.0,0.0,78.43
A,adaptive,20,148.43,3,0,0,3,0.0,0.0,80.73
A,adaptive,21,148.09,3,0,0,3,0.0,0.0,98.83
A,adaptive,22,108.78,3,0,0,3,0.0,0.0,139.3
A,adaptive,23,152.65,3,0,0,3,0.0,0.0,151.44
A,adaptive,24,148.53,3,0,0,3,0.0,0.0,125.24
A,adaptive,25,145.0,3,0,0,3,0.0,0.0,124.72
A,adaptive,26,147.66,3,0,0,3,0.0,0.0,126.61
A,adaptive,27,144.04,3,0,0,3,0.0,0.0,59.55
A,adaptive,28,132.07,3,0,0,3,0.0,0.0,52.15
A,adaptive,29,165.77,3,0,0,3,0.0,0.0,91.46
A,adaptive,30,145.54,3,0,0,3,0.0,0.0,93.24
B,fixed,1,3392.89,3,0,0,3,0.0,0.0,0.0
B,fixed,2,3834.43,3,0,0,3,0.0,0.0,0.0
B,fixed,3,4449.67,3,0,0,3,0.0,0.0,0.0
B,fixed,4,3927.08,3,0,0,3,0.0,0.0,0.0
B,fixed,5,3291.71,3,0,0,3,0.0,0.0,0.0
B,fixed,6,3495.52,3,0,0,3,0.0,0.0,0.0
B,fixed,7,4480.91,3,0,0,3,0.0,0.0,0.0
B,fixed,8,3565.21,3,0,0,3,0.0,0.0,0.0
B,fixed,9,4625.93,3,0,0,3,0.0,0.0,0.0
B,fixed,10,4417.03,3,0,0,3,0.0,0.0,0.0
B,fixed,11,3936.67,3,0,0,3,0.0,0.0,0.0
B,fixed,12,3973.57,3,0,0,3,0.0,0.0,0.0
B,fixed,13,3803.72,3,0,0,3,0.0,0.0,0.0
B,fixed,14,4301.18,3,0,0,3,0.0,0.0,0.0
B,fixed,15,3648.53,3,0,0,3,0.0,0.0,0.0
B,fixed,16,3148.58,3,0,0,3,0.0,0.0,0.0
B,fixed,17,3882.14,3,0,0,3,0.0,0.0,0.0
B,fixed,18,3599.36,3,0,0,3,0.0,0.0,0.0
B,fixed,19,3911.87,3,0,0,3,0.0,0.0,0.0
B,fixed,20,5007.44,3,0,0,3,0.0,0.0,0.0
B,fixed,21,4342.12,3,0,0,3,0.0,0.0,0.0
B,fixed,22,3172.62,3,0,0,3,0.0,0.0,0.0
B,fixed,23,3678.69,3,0,0,3,0.0,0.0,0.0
B,fixed,24,3464.05,3,0,0,3,0.0,0.0,0.0
B,fixed,25,3501.03,3,0,0,3,0.0,0.0,0.0
B,fixed,26,4750.13,3,0,0,3,0.0,0.0,0.0
B,fixed,27,3365.31,3,0,0,3,0.0,0.0,0.0
B,fixed,28,4398.11,3,0,0,3,0.0,0.0,0.0
B,fixed,29,3627.89,3,0,0,3,0.0,0.0,0.0
B,fixed,30,4299.77,3,0,0,3,0.0,0.0,0.0
B,timeout_race,1,3355.66,3,0,0,3,0.0,0.0,0.0
B,timeout_race,2,3531.9,3,0,0,3,0.0,0.0,0.0
B,timeout_race,3,4556.19,3,0,0,3,0.0,0.0,0.0
B,timeout_race,4,3616.12,3,0,0,3,0.0,0.0,0.0
B,timeout_race,5,4766.82,3,0,0,3,0.0,0.0,0.0
B,timeout_race,6,3128.38,3,0,0,3,0.0,0.0,0.0
B,timeout_race,7,3385.92,3,0,0,3,0.0,0.0,0.0
B,timeout_race,8,3761.85,3,0,0,3,0.0,0.0,0.0
B,timeout_race,9,4726.95,3,0,0,3,0.0,0.0,0.0
B,timeout_race,10,3367.96,3,0,0,3,0.0,0.0,0.0
B,timeout_race,11,4830.08,3,0,0,3,0.0,0.0,0.0
B,timeout_race,12,4579.02,3,0,0,3,0.0,0.0,0.0
B,timeout_race,13,4274.66,3,0,0,3,0.0,0.0,0.0
B,timeout_race,14,4904.89,3,0,0,3,0.0,0.0,0.0
B,timeout_race,15,3654.6,3,0,0,3,0.0,0.0,0.0
B,timeout_race,16,3903.81,3,0,0,3,0.0,0.0,0.0
B,timeout_race,17,4517.68,3,0,0,3,0.0,0.0,0.0
B,timeout_race,18,4013.19,3,0,0,3,0.0,0.0,0.0
B,timeout_race,19,3731.63,3,0,0,3,0.0,0.0,0.0
B,timeout_race,20,4367.78,3,0,0,3,0.0,0.0,0.0
B,timeout_race,21,4615.23,3,0,0,3,0.0,0.0,0.0
B,timeout_race,22,4832.29,3,0,0,3,0.0,0.0,0.0
B,timeout_race,23,3066.88,3,0,0,3,0.0,0.0,0.0
B,timeout_race,24,3415.21,3,0,0,3,0.0,0.0,0.0
B,timeout_race,25,4416.54,3,0,0,3,0.0,0.0,0.0
B,timeout_race,26,3530.94,3,0,0,3,0.0,0.0,0.0
B,timeout_race,27,4016.96,3,0,0,3,0.0,0.0,0.0
B,timeout_race,28,3800.44,3,0,0,3,0.0,0.0,0.0
B,timeout_race,29,3982.41,3,0,0,3,0.0,0.0,0.0
B,timeout_race,30,3647.55,3,0,0,3,0.0,0.0,0.0
B,adaptive,1,4182.35,3,0,0,3,0.0,0.0,0.0
B,adaptive,2,3599.34,3,0,0,3,0.0,0.0,28546.26
B,adaptive,3,4500.65,3,0,0,3,0.0,0.0,46699.65
B,adaptive,4,4650.85,3,0,0,3,0.0,0.0,54389.94
B,adaptive,5,3880.48,3,0,0,3,0.0,0.0,50181.89
B,adaptive,6,3301.64,3,0,0,3,0.0,0.0,89264.39
B,adaptive,7,4781.73,3,0,0,3,0.0,0.0,102631.98
B,adaptive,8,3498.11,3,0,0,3,0.0,0.0,119061.38
B,adaptive,9,3064.75,3,0,0,3,0.0,0.0,120186.8
B,adaptive,10,4950.04,3,0,0,3,0.0,0.0,206355.71
B,adaptive,11,4914.84,3,0,0,3,0.0,0.0,212392.37
B,adaptive,12,3382.09,3,0,0,3,0.0,0.0,216224.83
B,adaptive,13,4586.27,3,0,0,3,0.0,0.0,211937.09
B,adaptive,14,3696.43,3,0,0,3,0.0,0.0,139428.23
B,adaptive,15,3233.01,3,0,0,3,0.0,0.0,149164.08
B,adaptive,16,4548.15,3,0,0,3,0.0,0.0,109770.42
B,adaptive,17,3404.13,3,0,0,3,0.0,0.0,108346.21
B,adaptive,18,4178.57,3,0,0,3,0.0,0.0,79546.36
B,adaptive,19,4799.24,3,0,0,3,0.0,0.0,127430.15
B,adaptive,20,4185.72,3,0,0,3,0.0,0.0,74216.51
B,adaptive,21,4662.25,3,0,0,3,0.0,0.0,79638.15
B,adaptive,22,4420.38,3,0,0,3,0.0,0.0,20741.8
B,adaptive,23,3165.69,3,0,0,3,0.0,0.0,111869.49
B,adaptive,24,3756.77,3,0,0,3,0.0,0.0,92868.39
B,adaptive,25,3968.97,3,0,0,3,0.0,0.0,91086.91
B,adaptive,26,4682.14,3,0,0,3,0.0,0.0,93200.8
B,adaptive,27,4723.37,3,0,0,3,0.0,0.0,115258.9
B,adaptive,28,4028.85,3,0,0,3,0.0,0.0,52242.94
B,adaptive,29,3126.47,3,0,0,3,0.0,0.0,113295.02
B,adaptive,30,4907.95,3,0,0,3,0.0,0.0,142998.76
C,fixed,1,211.81,3,0,0,3,0.0,0.0,0.0
C,fixed,2,210.74,3,0,0,3,0.0,0.0,0.0
C,fixed,3,208.76,3,0,0,3,0.0,0.0,0.0
C,fixed,4,225.66,2,1,0,3,0.0,0.0,0.0
C,fixed,5,236.21,2,1,0,3,0.0,0.0,0.0
C,fixed,6,225.5,2,1,0,3,0.0,0.0,0.0
C,fixed,7,196.88,3,0,0,3,0.0,0.0,0.0
C,fixed,8,234.82,3,0,0,3,0.0,0.0,0.0
C,fixed,9,222.05,3,0,0,3,0.0,0.0,0.0
C,fixed,10,181.55,1,2,0,3,0.0,0.0,0.0
C,fixed,11,225.1,2,1,0,3,0.0,0.0,0.0
C,fixed,12,237.73,2,1,0,3,0.0,0.0,0.0
C,fixed,13,239.6,2,1,0,3,0.0,0.0,0.0
C,fixed,14,228.24,2,1,0,3,0.0,0.0,0.0
C,fixed,15,239.0,2,1,0,3,0.0,0.0,0.0
C,fixed,16,222.76,3,0,0,3,0.0,0.0,0.0
C,fixed,17,230.07,2,1,0,3,0.0,0.0,0.0
C,fixed,18,213.15,3,0,0,3,0.0,0.0,0.0
C,fixed,19,228.07,3,0,0,3,0.0,0.0,0.0
C,fixed,20,232.55,3,0,0,3,0.0,0.0,0.0
C,fixed,21,211.22,3,0,0,3,0.0,0.0,0.0
C,fixed,22,210.62,1,2,0,3,0.0,0.0,0.0
C,fixed,23,217.2,3,0,0,3,0.0,0.0,0.0
C,fixed,24,234.61,1,2,0,3,0.0,0.0,0.0
C,fixed,25,201.88,2,1,0,3,0.0,0.0,0.0
C,fixed,26,233.45,2,1,0,3,0.0,0.0,0.0
C,fixed,27,233.32,1,2,0,3,0.0,0.0,0.0
C,fixed,28,218.26,1,2,0,3,0.0,0.0,0.0
C,fixed,29,210.7,2,1,0,3,0.0,0.0,0.0
C,fixed,30,244.27,2,1,0,3,0.0,0.0,0.0
C,timeout_race,1,214.78,3,0,0,3,0.0,0.0,0.0
C,timeout_race,2,220.93,2,1,0,3,0.0,0.0,0.0
C,timeout_race,3,208.76,3,0,0,3,0.0,0.0,0.0
C,timeout_race,4,222.54,3,0,0,3,0.0,0.0,0.0
C,timeout_race,5,226.01,2,1,0,3,0.0,0.0,0.0
C,timeout_race,6,220.73,1,2,0,3,0.0,0.0,0.0
C,timeout_race,7,226.35,3,0,0,3,0.0,0.0,0.0
C,timeout_race,8,212.35,3,0,0,3,0.0,0.0,0.0
C,timeout_race,9,202.73,3,0,0,3,0.0,0.0,0.0
C,timeout_race,10,203.19,2,1,0,3,0.0,0.0,0.0
C,timeout_race,11,204.33,2,1,0,3,0.0,0.0,0.0
C,timeout_race,12,215.22,2,1,0,3,0.0,0.0,0.0
C,timeout_race,13,219.64,3,0,0,3,0.0,0.0,0.0
C,timeout_race,14,223.86,2,1,0,3,0.0,0.0,0.0
C,timeout_race,15,228.75,3,0,0,3,0.0,0.0,0.0
C,timeout_race,16,215.94,1,2,0,3,0.0,0.0,0.0
C,timeout_race,17,228.48,2,1,0,3,0.0,0.0,0.0
C,timeout_race,18,208.79,3,0,0,3,0.0,0.0,0.0
C,timeout_race,19,221.8,3,0,0,3,0.0,0.0,0.0
C,timeout_race,20,218.2,2,1,0,3,0.0,0.0,0.0
C,timeout_race,21,218.61,3,0,0,3,0.0,0.0,0.0
C,timeout_race,22,201.34,2,1,0,3,0.0,0.0,0.0
C,timeout_race,23,217.21,2,1,0,3,0.0,0.0,0.0
C,timeout_race,24,215.52,2,1,0,3,0.0,0.0,0.0
C,timeout_race,25,230.06,2,1,0,3,0.0,0.0,0.0
C,timeout_race,26,221.56,2,1,0,3,0.0,0.0,0.0
C,timeout_race,27,213.63,3,0,0,3,0.0,0.0,0.0
C,timeout_race,28,213.66,2,1,0,3,0.0,0.0,0.0
C,timeout_race,29,227.95,2,1,0,3,0.0,0.0,0.0
C,timeout_race,30,208.84,2,1,0,3,0.0,0.0,0.0
C,adaptive,1,220.05,3,0,0,3,0.0,0.0,0.0
C,adaptive,2,235.43,2,1,0,3,0.0,0.0,49.87
C,adaptive,3,211.08,1,2,0,3,0.0,0.0,53.99
C,adaptive,4,244.74,2,1,0,3,0.0,0.0,72.79
C,adaptive,5,220.97,2,1,0,3,0.0,0.0,76.84
C,adaptive,6,236.59,3,0,0,3,0.0,0.0,96.76
C,adaptive,7,212.66,3,0,0,3,0.0,0.0,180.69
C,adaptive,8,217.16,2,1,0,3,0.0,0.0,196.19
C,adaptive,9,205.39,2,1,0,3,0.0,0.0,184.69
C,adaptive,10,213.28,2,1,0,3,0.0,0.0,190.08
C,adaptive,11,220.73,2,1,0,3,0.0,0.0,118.95
C,adaptive,12,230.25,2,1,0,3,0.0,0.0,76.72
C,adaptive,13,212.31,2,1,0,3,0.0,0.0,40.39
C,adaptive,14,220.47,3,0,0,3,0.0,0.0,29.37
C,adaptive,15,220.34,3,0,0,3,0.0,0.0,18.27
C,adaptive,16,202.51,3,0,0,3,0.0,0.0,31.9
C,adaptive,17,229.89,2,1,0,3,0.0,0.0,35.74
C,adaptive,18,229.91,1,2,0,3,0.0,0.0,34.95
C,adaptive,19,218.65,2,1,0,3,0.0,0.0,49.99
C,adaptive,20,216.62,3,0,0,3,0.0,0.0,48.17
C,adaptive,21,217.77,1,2,0,3,0.0,0.0,43.02
C,adaptive,22,235.3,2,1,0,3,0.0,0.0,39.37
C,adaptive,23,212.14,1,2,0,3,0.0,0.0,52.7
C,adaptive,24,213.14,2,1,0,3,0.0,0.0,36.11
C,adaptive,25,224.34,3,0,0,3,0.0,0.0,34.49
C,adaptive,26,225.64,3,0,0,3,0.0,0.0,58.32
C,adaptive,27,214.21,1,2,0,3,0.0,0.0,70.59
C,adaptive,28,224.57,2,1,0,3,0.0,0.0,81.5
C,adaptive,29,242.61,2,1,0,3,0.0,0.0,101.61
C,adaptive,30,216.4,2,1,0,3,0.0,0.0,116.6
